시점,소계,합의이혼,재판이혼,미상
2000,25477,21515,3794,168
2001,28962,23914,4791,257
2002,29351,24670,4504,177
2003,32499,28193,4054,252
2004,26994,22780,4025,189
2005,25300,22154,2924,222
2006,24354,21336,2984,34
2007,24615,21382,3205,28
2008,23319,17934,5384,1
2009,23920,17783,6137,-
2010,21768,16230,5537,1
2011,20617,15427,5182,8
2012,20177,15317,4858,2
2013,20126,15146,4977,3
2014,19477,15131,4346,-
2015,18176,13981,4194,1
2016,17777,13665,4106,6
2017,17083,13216,3866,1
2018,16940,13270,3667,3
2019,16972,12903,4063,6
2020,16282,12219,4060,3
2021,14967,11201,3762,4
2022,13174,9938,3230,6
2023,12397,9127,3262,8